
PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	59	0	0	0
2	0		sleeping	  0	0	0	59	0	0	0	0
3	3		runnable	  7	5	0	1	7	14	5	0
4	0		sleeping	  0	3	0	27	0	0	0	0
5	0		sleeping	  0	3	0	27	0	0	0	0
6	0		sleeping	  0	3	0	27	0	0	0	0
7	0		sleeping	  0	3	0	27	0	0	0	0
8	0		sleeping	  0	3	0	27	0	0	0	0
9	3		runnable	  7	1	0	2	8	16	1	0
10	2		running 	  4	14	0	3	9	15	0	0
11	2		runnable	  3	13	0	4	10	13	0	0
12	2		runnable	  3	11	0	5	11	11	0	0
13	2		runnable	  3	9	0	6	12	9	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	60	0	0	0
2	0		sleeping	  0	0	0	60	0	0	0	0
3	3		runnable	  7	6	0	1	7	14	6	0
4	0		runnable	  0	1	0	28	0	0	0	0
5	0		runnable	  0	1	0	28	0	0	0	0
6	0		runnable	  0	1	0	28	0	0	0	0
7	0		runnable	  0	1	0	28	0	0	0	0
8	0		runnable	  0	1	0	28	0	0	0	0
9	3		runnable	  7	2	0	2	8	16	2	0
10	2		running 	  5	14	0	3	9	16	0	0
11	2		runnable	  3	14	0	4	10	14	0	0
12	2		runnable	  3	12	0	5	11	12	0	0
13	2		runnable	  3	10	0	6	12	10	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	61	0	0	0
2	0		sleeping	  0	0	0	61	0	0	0	0
3	3		runnable	  7	7	0	1	7	14	7	0
4	0		runnable	  0	2	0	29	0	0	0	0
5	0		runnable	  0	2	0	29	0	0	0	0
6	0		runnable	  0	2	0	29	0	0	0	0
7	0		runnable	  0	2	0	29	0	0	0	0
8	0		runnable	  0	2	0	29	0	0	0	0
9	3		runnable	  7	3	0	2	8	16	3	0
10	2		running 	  6	14	0	3	9	17	0	0
11	2		runnable	  3	15	0	4	10	15	0	0
12	2		runnable	  3	13	0	5	11	13	0	0
13	2		runnable	  3	11	0	6	12	11	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	62	0	0	0
2	0		sleeping	  0	0	0	62	0	0	0	0
3	3		runnable	  7	8	0	1	7	14	8	0
4	0		runnable	  0	3	0	30	0	0	0	0
5	0		runnable	  0	3	0	30	0	0	0	0
6	0		runnable	  0	3	0	30	0	0	0	0
7	0		runnable	  0	3	0	30	0	0	0	0
8	0		runnable	  0	3	0	30	0	0	0	0
9	3		runnable	  7	4	0	2	8	16	4	0
10	2		running 	  7	14	0	3	9	18	0	0
11	2		runnable	  3	16	0	4	10	16	0	0
12	2		runnable	  3	14	0	5	11	14	0	0
13	2		runnable	  3	12	0	6	12	12	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	63	0	0	0
2	0		sleeping	  0	0	0	63	0	0	0	0
3	3		runnable	  7	9	0	1	7	14	9	0
4	0		sleeping	  0	3	0	31	0	0	0	0
5	0		sleeping	  0	3	0	31	0	0	0	0
6	0		sleeping	  0	3	0	31	0	0	0	0
7	0		sleeping	  0	3	0	31	0	0	0	0
8	0		sleeping	  0	3	0	31	0	0	0	0
9	3		runnable	  7	5	0	2	8	16	5	0
10	3		runnable	  7	1	0	3	9	18	1	0
11	2		running 	  4	16	0	4	10	17	0	0
12	2		runnable	  3	15	0	5	11	15	0	0
13	2		runnable	  3	13	0	6	12	13	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	64	0	0	0
2	0		sleeping	  0	0	0	64	0	0	0	0
3	3		runnable	  7	10	0	1	7	14	10	0
4	0		runnable	  0	1	0	32	0	0	0	0
5	0		runnable	  0	1	0	32	0	0	0	0
6	0		runnable	  0	1	0	32	0	0	0	0
7	0		runnable	  0	1	0	32	0	0	0	0
8	0		runnable	  0	1	0	32	0	0	0	0
9	3		runnable	  7	6	0	2	8	16	6	0
10	3		runnable	  7	2	0	3	9	18	2	0
11	2		running 	  5	16	0	4	10	18	0	0
12	2		runnable	  3	16	0	5	11	16	0	0
13	2		runnable	  3	14	0	6	12	14	0	0

